cycle,strain,energy_eV,sigma_cell_zz_GPa,wire_stress_current_GPa,wire_stress_ref_GPa,wire_area_ref_ellipse_A2,wire_area_current_ellipse_A2,wire_area_current_bbox_A2,cell_area_xy_A2,wire_span_x_A,wire_span_y_A,n_atoms
0,0.000000000000,-16383.710676952207,-0.078804577674,-0.287730793911,-0.287730793911,684.707540358083,684.707540358083,871.796716962258,2500.000000000000,29.792361069884,29.262424516045,295
1,0.010000000000,-16383.494895874384,0.464607697471,1.696553347047,1.696372794535,684.707540358083,684.634671640675,871.703937629681,2500.000000000000,29.790997326728,29.260649721438,295
2,0.020100000000,-16382.682669288020,0.981523585490,3.585165788460,3.583732935730,684.707540358083,684.433889116644,871.448293380193,2500.000000000000,29.787349903792,29.255650341330,295
3,0.030301000000,-16381.287127286474,1.476335735683,5.394483257284,5.390388044036,684.707540358083,684.187745735188,871.134893893248,2500.000000000000,29.783076711990,29.249325122362,295
4,0.040604010000,-16379.715011094666,1.805806077520,6.667096511514,6.593348148963,684.707540358083,677.133619710513,862.153301685086,2500.000000000000,29.657450167125,29.070378499389,295
5,0.051010050100,-16377.374460814968,2.263439600940,8.368606854605,8.264256881692,684.707540358083,676.169773614960,860.926094721190,2500.000000000000,29.643130965776,29.043021660403,295
6,0.061520150601,-16374.638630502375,2.623002339760,9.774054899868,9.577090163154,684.707540358083,670.909455346842,854.228449484330,2500.000000000000,29.548931650843,28.908945324253,295
7,0.072135352107,-16371.301355590726,3.050370293819,11.382181068920,11.137493433414,684.707540358083,669.988088255764,853.055328468751,2500.000000000000,29.531284073556,28.886496311640,295
8,0.082856705628,-16367.560092034659,3.395225201893,12.760938372100,12.396625572859,684.707540358083,665.159783491334,846.907739908646,2500.000000000000,29.431155883297,28.775891210895,295
9,0.093685272684,-16363.199727288958,3.802330864527,14.292703212075,13.883047288112,684.707540358083,665.082526396233,846.809373120051,2500.000000000000,29.429576413583,28.774093151039,295
10,0.104622125411,-16358.326684484453,4.192255611087,15.763967158503,15.306738147264,684.707540358083,664.847809078636,846.510521749453,2500.000000000000,29.424853500228,28.768555185598,295
11,0.115668346665,-16352.977116900840,4.554807826143,17.142303502600,16.630486586147,684.707540358083,664.264260846359,845.767525063857,2500.000000000000,29.414092348072,28.753820279595,295
12,0.126825030132,-16347.493733795607,4.763558792782,18.146310197056,17.392676843792,684.707540358083,656.270991327358,835.590178220539,2500.000000000000,29.264089271495,28.553431834780,295
13,0.138093280433,-16341.360573120530,5.075846744028,19.348886419519,18.532900708868,684.707540358083,655.831895693411,835.031104295478,2500.000000000000,29.252165411948,28.545958650787,295
14,0.149474213238,-16334.714176768653,5.396511957497,20.575307639686,19.703711582738,684.707540358083,655.702462874449,834.866305311989,2500.000000000000,29.249449816222,28.542974673287,295
15,0.160968955370,-16327.629179807771,5.693404758328,21.711861256688,20.787724768413,684.707540358083,655.563874858320,834.689849569427,2500.000000000000,29.246873427467,28.539455734969,295
16,0.172578644924,-16326.000960002857,3.755206922482,14.801666764066,13.710988638003,684.707540358083,634.254064481197,807.557356306466,2500.000000000000,28.683861049850,28.153718737621,295
17,0.184304431373,-16327.426252289202,2.166817924975,9.018233035013,7.911472407045,684.707540358083,600.676960930961,764.805660268638,2500.000000000000,28.614513096104,26.727893558768,295
18,0.196147475687,-16335.509108773764,1.824693194730,8.011810746207,6.662308676254,684.707540358083,569.376028881293,724.952075795932,2500.000000000000,28.038645649961,25.855459812373,295
19,0.208108950444,-16335.422867381209,1.601462823951,7.178413650733,5.847251306424,684.707540358083,557.735629997941,710.131059621158,2500.000000000000,27.402757279560,25.914584155765,295
20,0.220190039948,-16338.802358330620,1.491972622325,6.777831260504,5.447481349281,684.707540358083,550.313428064838,700.680818610921,2500.000000000000,27.278568201499,25.686128884595,295
